,word,version,vid
0,chocolate,1,1
1,fudge,1,1
2,sweet,1,1
3,desert,1,1
4,delicious,1,1
5,chocolate,1,1
6,decadent,1,1
7,delicious,1,1
8,gooey,1,1
9,tasty,1,1
10,delicious,1,1
11,tempting,1,1
12,melting,1,1
13,chocolate,1,1
14,dessert,1,1
15,desert,1,1
16,chocolate,1,1
17,cake,1,1
18,icecream,1,1
19,delicious,1,1
20,chocolate,1,1
21,dessert,1,1
22,exciting,1,1
23,revealing,1,1
24,tasty,1,1
25,delicious,1,1
26,mouth-watering,1,1
27,sugar,1,1
28,calories,1,1
29,treat,1,1
30,yummy,1,1
31,chocolate,1,1
32,cake,1,1
33,mouth-watering,1,1
34,plate,1,1
35,chocolate,1,1
36,sweet,1,1
37,sauce,1,1
38,plate,1,1
39,strawberry,1,1
40,food,1,1
41,chocolate,1,1
42,plate,1,1
43,ball,1,1
44,pouring,1,1
45,dessert,1,1
46,chocolate,1,1
47,sauce,1,1
48,flow,1,1
49,delicious,1,1
50,melted-chocolate,1,1
51,ball,1,1
52,strawberry,1,1
53,dessert,1,1
54,food,1,1
55,delicious,1,1
56,satisfying,1,1
57,chocolate,1,1
58,dessert,1,1
59,sugary-treat,1,1
60,dessert,1,1
61,chocolate,1,1
62,sweet,1,1
63,pudding,1,1
64,delicious,1,1
65,satisfying,1,1
66,delicious,1,1
67,sweet,1,1
68,desert,1,1
69,tasty,1,1
70,chocolate,1,1
71,pudding,1,1
72,melting,1,1
73,sauce,1,1
74,fruit,1,1
75,chcocolate,1,1
76,melt,1,1
77,dessert,1,1
78,icecream,1,1
79,delicious,1,1
80,dessert,1,1
81,chocolate,1,1
82,caramel,1,1
83,fruit,1,1
84,dish,1,1
85,happy,1,1
86,nice,1,1
87,suger,1,1
88,comfort,1,1
89,delicious,1,1
90,dessert,1,1
91,chocolate,1,1
92,melting,1,1
93,icecream,1,1
94,pouring,1,1
95,chocolate,1,1
96,melt,1,1
97,expensive,1,1
98,fancy,1,1
99,dessert,1,1
100,hungry,2,1
101,excited,2,1
102,happy,2,1
103,satisfied,2,1
104,craving,2,1
105,hungry,2,1
106,sweet,2,1
107,happiness,2,1
108,content,2,1
109,satisfied,2,1
110,bored,2,1
111,nothing,2,1
112,gross,2,1
113,diabetic,2,1
114,full,2,1
115,calm,2,1
116,excited,2,1
117,hungry,2,1
118,happiness,2,1
119,tempted,2,1
120,interesting,2,1
121,delicious,2,1
122,surprising,2,1
123,hungry,2,1
124,excited,2,1
125,grossed-out,2,1
126,disgusted,2,1
127,curious,2,1
128,loss-of-appetite,2,1
129,anxious,2,1
130,tasty,2,1
131,sweet,2,1
132,hot,2,1
133,warm,2,1
134,sugar,2,1
135,hunger,2,1
136,desire,2,1
137,excite,2,1
138,salivate,2,1
139,motivated,2,1
140,salivating,2,1
141,aestetic,2,1
142,impressed,2,1
143,hungry,2,1
144,intrigued,2,1
145,hungry,2,1
146,jealous,2,1
147,smooth,2,1
148,yummy,2,1
149,guilty,2,1
150,hungry,2,1
151,satisfied,2,1
152,impressed,2,1
153,calm,2,1
154,relaxed,2,1
155,hungry,2,1
156,happy,2,1
157,mellow,2,1
158,desire,2,1
159,relaxed,2,1
160,hungry,2,1
161,happy,2,1
162,jealous,2,1
163,upset,2,1
164,excite,2,1
165,delighted,2,1
166,amazed,2,1
167,intrigued,2,1
168,happy,2,1
169,excited,2,1
170,sad,2,1
171,hungry,2,1
172,cold,2,1
173,disgust,2,1
174,hate,2,1
175,awe,2,1
176,desire,2,1
177,interest,2,1
178,excitement,2,1
179,delighted,2,1
180,fascinated,2,1
181,intrigued,2,1
182,hungry,2,1
183,calm,2,1
184,happy,2,1
185,excited,2,1
186,happiness,2,1
187,hungry,2,1
188,guilty,2,1
189,pleasure,2,1
190,mouth-watering,2,1
191,hunger,2,1
192,deliciousness,2,1
193,peckish,2,1
194,sweet-craving,2,1
195,crave,2,1
196,interested,2,1
197,full,2,1
198,greed,2,1
199,hungry,2,1
200,usa,1,2
201,flag,1,2
202,soldiers,1,2
203,proud,1,2
204,country,1,2
205,war,1,2
206,america,1,2
207,flag,1,2
208,soldiers,1,2
209,windy,1,2
210,inspiring,1,2
211,flag,1,2
212,war,1,2
213,america,1,2
214,soldiers,1,2
215,flag,1,2
216,soldiers,1,2
217,usa,1,2
218,men,1,2
219,army,1,2
220,war,1,2
221,american,1,2
222,flag,1,2
223,japan,1,2
224,winning,1,2
225,helpful,1,2
226,war,1,2
227,team,1,2
228,brothers,1,2
229,victory,1,2
230,war,1,2
231,independence,1,2
232,usa,1,2
233,soldiers,1,2
234,flag,1,2
235,men,1,2
236,flag,1,2
237,soldier,1,2
238,war,1,2
239,work,1,2
240,soldiers,1,2
241,usa-flag,1,2
242,victory,1,2
243,man,1,2
244,victory,1,2
245,flag,1,2
246,hoist,1,2
247,soldiers,1,2
248,war,1,2
249,patriotic,1,2
250,raising,1,2
251,flag,1,2
252,american,1,2
253,soldier,1,2
254,male,1,2
255,war,1,2
256,victory,1,2
257,america,1,2
258,freedom,1,2
259,democracy,1,2
260,flag,1,2
261,war,1,2
262,soldier,1,2
263,army,1,2
264,victory,1,2
265,war,1,2
266,old,1,2
267,historic,1,2
268,dangerous,1,2
269,divided,1,2
270,war,1,2
271,american,1,2
