,word,version,vid,vid_name
0,chocol,1,1,1826.mp4
1,fudg,1,1,1826.mp4
2,sweet,1,1,1826.mp4
3,desert,1,1,1826.mp4
4,delici,1,1,1826.mp4
5,chocol,1,1,1826.mp4
6,decad,1,1,1826.mp4
7,delici,1,1,1826.mp4
8,gooey,1,1,1826.mp4
9,tasti,1,1,1826.mp4
10,delici,1,1,1826.mp4
11,tempt,1,1,1826.mp4
12,melt,1,1,1826.mp4
13,chocol,1,1,1826.mp4
14,dessert,1,1,1826.mp4
15,desert,1,1,1826.mp4
16,chocol,1,1,1826.mp4
17,cake,1,1,1826.mp4
18,icecream,1,1,1826.mp4
19,delici,1,1,1826.mp4
20,chocol,1,1,1826.mp4
21,dessert,1,1,1826.mp4
22,excit,1,1,1826.mp4
23,reveal,1,1,1826.mp4
24,tasti,1,1,1826.mp4
25,delici,1,1,1826.mp4
26,mouth-wat,1,1,1826.mp4
27,sugar,1,1,1826.mp4
28,calori,1,1,1826.mp4
29,treat,1,1,1826.mp4
30,yummi,1,1,1826.mp4
31,chocol,1,1,1826.mp4
32,cake,1,1,1826.mp4
33,mouth-wat,1,1,1826.mp4
34,plate,1,1,1826.mp4
35,chocol,1,1,1826.mp4
36,sweet,1,1,1826.mp4
37,sauc,1,1,1826.mp4
38,plate,1,1,1826.mp4
39,strawberri,1,1,1826.mp4
40,food,1,1,1826.mp4
41,chocol,1,1,1826.mp4
42,plate,1,1,1826.mp4
43,ball,1,1,1826.mp4
44,pour,1,1,1826.mp4
45,dessert,1,1,1826.mp4
46,chocol,1,1,1826.mp4
47,sauc,1,1,1826.mp4
48,flow,1,1,1826.mp4
49,delici,1,1,1826.mp4
50,melted-chocol,1,1,1826.mp4
51,ball,1,1,1826.mp4
52,strawberri,1,1,1826.mp4
53,dessert,1,1,1826.mp4
54,food,1,1,1826.mp4
55,delici,1,1,1826.mp4
56,satisfi,1,1,1826.mp4
57,chocol,1,1,1826.mp4
58,dessert,1,1,1826.mp4
59,sugary-treat,1,1,1826.mp4
60,dessert,1,1,1826.mp4
61,chocol,1,1,1826.mp4
62,sweet,1,1,1826.mp4
63,pud,1,1,1826.mp4
64,delici,1,1,1826.mp4
65,satisfi,1,1,1826.mp4
66,delici,1,1,1826.mp4
67,sweet,1,1,1826.mp4
68,desert,1,1,1826.mp4
69,tasti,1,1,1826.mp4
70,chocol,1,1,1826.mp4
71,pud,1,1,1826.mp4
72,melt,1,1,1826.mp4
73,sauc,1,1,1826.mp4
74,fruit,1,1,1826.mp4
75,chcocol,1,1,1826.mp4
76,melt,1,1,1826.mp4
77,dessert,1,1,1826.mp4
78,icecream,1,1,1826.mp4
79,delici,1,1,1826.mp4
80,dessert,1,1,1826.mp4
81,chocol,1,1,1826.mp4
82,caramel,1,1,1826.mp4
83,fruit,1,1,1826.mp4
84,dish,1,1,1826.mp4
85,happi,1,1,1826.mp4
86,nice,1,1,1826.mp4
87,suger,1,1,1826.mp4
88,comfort,1,1,1826.mp4
89,delici,1,1,1826.mp4
90,dessert,1,1,1826.mp4
91,chocol,1,1,1826.mp4
92,melt,1,1,1826.mp4
93,icecream,1,1,1826.mp4
94,pour,1,1,1826.mp4
95,chocol,1,1,1826.mp4
96,melt,1,1,1826.mp4
97,expen,1,1,1826.mp4
98,fanci,1,1,1826.mp4
99,dessert,1,1,1826.mp4
100,hungri,2,1,1826.mp4
