,word,version,vid,vid_name
0,excit,1,1,1826.mp4
1,excit,2,1,1826.mp4
2,excit,2,1,1826.mp4
3,excit,2,1,1826.mp4
4,excit,2,1,1826.mp4
5,excit,2,1,1826.mp4
6,excit,2,1,1826.mp4
7,excit,2,1,1826.mp4
8,excit,2,1,1826.mp4
9,yummi,1,1,1826.mp4
10,yummi,2,1,1826.mp4
11,satisfi,1,1,1826.mp4
12,satisfi,1,1,1826.mp4
13,satisfi,2,1,1826.mp4
14,satisfi,2,1,1826.mp4
15,satisfi,2,1,1826.mp4
16,hungri,2,1,1826.mp4
17,hungri,2,1,1826.mp4
18,hungri,2,1,1826.mp4
19,hungri,2,1,1826.mp4
20,hungri,2,1,1826.mp4
21,hungri,2,1,1826.mp4
22,hungri,2,1,1826.mp4
23,hungri,2,1,1826.mp4
24,hungri,2,1,1826.mp4
25,hungri,2,1,1826.mp4
26,hungri,2,1,1826.mp4
27,hungri,2,1,1826.mp4
28,hungri,2,1,1826.mp4
29,calm,2,1,1826.mp4
30,calm,2,1,1826.mp4
31,calm,2,1,1826.mp4
32,interest,2,1,1826.mp4
33,interest,2,1,1826.mp4
34,interest,2,1,1826.mp4
35,surpris,2,1,1826.mp4
36,hunger,2,1,1826.mp4
37,hunger,2,1,1826.mp4
38,desir,2,1,1826.mp4
39,desir,2,1,1826.mp4
40,desir,2,1,1826.mp4
41,amaz,2,1,1826.mp4
42,proud,1,2,1693.mp4
43,proud,2,2,1693.mp4
44,proud,2,2,1693.mp4
45,proud,2,2,1693.mp4
46,proud,2,2,1693.mp4
47,proud,2,2,1693.mp4
48,proud,2,2,1693.mp4
49,proud,2,2,1693.mp4
50,war,1,2,1693.mp4
51,war,1,2,1693.mp4
52,war,1,2,1693.mp4
53,war,1,2,1693.mp4
54,war,1,2,1693.mp4
55,war,1,2,1693.mp4
56,war,1,2,1693.mp4
57,war,1,2,1693.mp4
58,war,1,2,1693.mp4
59,war,1,2,1693.mp4
60,war,1,2,1693.mp4
61,war,1,2,1693.mp4
62,war,1,2,1693.mp4
63,war,2,2,1693.mp4
64,inspir,1,2,1693.mp4
65,inspir,2,2,1693.mp4
66,inspir,2,2,1693.mp4
67,patriot,1,2,1693.mp4
68,patriot,2,2,1693.mp4
69,patriot,2,2,1693.mp4
70,histor,1,2,1693.mp4
71,neutral,2,2,1693.mp4
72,neutral,2,2,1693.mp4
73,neutral,2,2,1693.mp4
74,disgust,2,2,1693.mp4
75,disgust,2,2,1693.mp4
76,interest,2,2,1693.mp4
77,awe,2,2,1693.mp4
78,thank,2,2,1693.mp4
79,violenc,1,3,1703.mp4
80,violenc,1,3,1703.mp4
81,violenc,1,3,1703.mp4
82,violenc,1,3,1703.mp4
83,violenc,1,3,1703.mp4
84,violenc,1,3,1703.mp4
85,violenc,1,3,1703.mp4
86,violenc,1,3,1703.mp4
87,violenc,2,3,1703.mp4
88,shock,1,3,1703.mp4
89,shock,2,3,1703.mp4
90,shock,2,3,1703.mp4
91,shock,2,3,1703.mp4
92,shock,2,3,1703.mp4
93,shock,2,3,1703.mp4
94,shock,2,3,1703.mp4
95,disgust,1,3,1703.mp4
96,disgust,1,3,1703.mp4
97,disgust,2,3,1703.mp4
98,disgust,2,3,1703.mp4
99,disgust,2,3,1703.mp4
100,disgust,2,3,1703.mp4
