,Unnamed: 0,word,emotions,version,vid,s,s2
0,0,chocolate," [('trust', 0.25), ('positive', 0.25), ('joy', 0.25), ('anticipation', 0.25)]",1,1,1,0
1,1,fudge," [('negative', 1.0)]",1,1,1,0
2,2,sweet," [('trust', 0.2), ('surprise', 0.2), ('positive', 0.2), ('joy', 0.2), ('anticipation', 0.2)]",1,1,1,0
3,3,desert," [('fear', 0.2), ('anger', 0.2), ('negative', 0.2), ('sadness', 0.2), ('disgust', 0.2)]",1,1,1,0
4,4,delicious," [('positive', 0.5), ('joy', 0.5)]",1,1,1,0
5,5,chocolate," [('trust', 0.25), ('positive', 0.25), ('joy', 0.25), ('anticipation', 0.25)]",1,1,1,0
6,6,decadent," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
7,7,delicious," [('positive', 0.5), ('joy', 0.5)]",1,1,1,0
8,8,gooey," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
9,9,tasty," [('positive', 1.0)]",1,1,1,0
10,10,delicious," [('positive', 0.5), ('joy', 0.5)]",1,1,1,0
11,11,tempting," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
12,12,melting," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
13,13,chocolate," [('trust', 0.25), ('positive', 0.25), ('joy', 0.25), ('anticipation', 0.25)]",1,1,1,0
14,14,dessert," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
15,15,desert," [('fear', 0.2), ('anger', 0.2), ('negative', 0.2), ('sadness', 0.2), ('disgust', 0.2)]",1,1,1,0
16,16,chocolate," [('trust', 0.25), ('positive', 0.25), ('joy', 0.25), ('anticipation', 0.25)]",1,1,1,0
17,17,cake," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
18,18,icecream," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
19,19,delicious," [('positive', 0.5), ('joy', 0.5)]",1,1,1,0
20,20,chocolate," [('trust', 0.25), ('positive', 0.25), ('joy', 0.25), ('anticipation', 0.25)]",1,1,1,0
21,21,dessert," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
22,22,exciting," [('surprise', 0.25), ('positive', 0.25), ('joy', 0.25), ('anticipation', 0.25)]",1,1,1,0
23,23,revealing," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
24,24,tasty," [('positive', 1.0)]",1,1,1,0
25,25,delicious," [('positive', 0.5), ('joy', 0.5)]",1,1,1,0
26,26,mouth-watering," [('fear', 0.0), ('anger', 0.0), ('anticip', 0.0), ('trust', 0.0), ('surprise', 0.0), ('positive', 0.0), ('negative', 0.0), ('sadness', 0.0), ('disgust', 0.0), ('joy', 0.0)]",1,1,0,0
27,27,sugar," [('positive', 1.0)]",1,1,1,0
