,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
12,607bfcc67adf7f35b00c57b3,chocolate,4.0,14.2217,fudge,3.0,10.6198,sweet,3.0,7.8915,desert,3.0,10.8687,delicious,3.0,7.8755
13,607bfcc67adf7f35b00c57b3,usa,5.0,13.9614,flag,5.0,4.793,soldier,5.0,12.6992,proud,3.0,9.4716,country,3.0,12.9789
14,607bfcc67adf7f35b00c57b3,men,3.0,16.941,people,2.0,7.6517,walking,2.0,6.4667,hitting,3.0,7.8199,violence,2.0,6.6197
15,607bfcc67adf7f35b00c57b3,rescue,4.0,7.6848,boat,3.0,6.0914,dog,3.0,8.0197,iceberg,3.0,8.9948,water,4.0,5.8188
16,607bfcc67adf7f35b00c57b3,woman,3.0,6.6165,floor,3.0,9.5495,sick,3.0,9.9784,vomiting,4.0,6.7995,unwell,2.0,10.6745
17,607bfcc67adf7f35b00c57b3,team,3.0,7.0539,woman,3.0,12.278,happy,4.0,9.8686,teamwork,3.0,8.0989,sport,3.0,5.4447
18,607bfcc67adf7f35b00c57b3,wing,4.0,8.8434,feather,3.0,6.275,people,3.0,8.5954,cleaning,3.0,5.5692,helping,3.0,7.273
19,607bfcc67adf7f35b00c57b3,people,3.0,7.904,hi-five,3.0,12.9772,sport,3.0,5.5932,game,3.0,8.6427,happy,3.0,7.9943
20,607bfcc67adf7f35b00c57b3,skateboard,4.0,9.1565,boy,4.0,5.0478,fall,4.0,5.343,injury,4.0,7.7677,fell,3.0,6.8182
21,607bfcc67adf7f35b00c57b3,lady,4.0,9.9958,money,4.0,5.5677,throwing,2.0,18.9521,celebrity,4.0,18.7334,rich,3.0,8.7281
22,607bfcc67adf7f35b00c57b3,car,4.0,7.2769,train,3.0,8.0958,passing,3.0,12.8732,fast,3.0,12.2229,suspence,3.0,9.1489
23,607bfcc67adf7f35b00c57b3,car,3.0,7.0312,police,3.0,6.3185,turning,3.0,9.1452,driving,3.0,8.5702,slow,2.0,9.5968
24,607bfcc67adf7f35b00c57b3,lady,5.0,17.115,hilary,5.0,13.7752,politician,4.0,9.3007,smirk,3.0,10.4286,face,3.0,5.5007
25,607bfcc67adf7f35b00c57b3,rock,3.0,5.304,mountain,3.0,8.502,high,3.0,6.1246,slow,3.0,5.8981,movement,3.0,5.6457
26,607bfcc67adf7f35b00c57b3,animal,3.0,7.1972,cart,3.0,5.4345,slow,3.0,3.7012,movement,3.0,8.9924,ride,2.0,4.1994
27,607bfcc67adf7f35b00c57b3,fire,4.0,5.7442,smoke,5.0,5.9506,danger,2.0,21.9565,air,2.0,5.9032,congestion,2.0,8.7975
28,607bfcc67adf7f35b00c57b3,old-couple,4.0,17.7869,piano,3.0,5.5506,affection,3.0,13.1747,sitting,3.0,4.6764,relaxed,3.0,4.1659
29,607bfcc67adf7f35b00c57b3,couple,3.0,9.3226,sex-act,3.0,8.3761,movement,2.0,13.8586,slow,2.0,13.2235,couple,3.0,15.4988
30,607bfcc67adf7f35b00c57b3,dark,4.0,5.3008,driving,4.0,5.4013,fast,3.0,6.4206,car,3.0,4.6646,accident,3.0,8.9057
31,607bfcc67adf7f35b00c57b3,window,4.0,5.9764,restaurant,4.0,7.4684,cab,3.0,6.1185,reflection,3.0,10.3715,mirror,2.0,10.9216
32,607bfcc67adf7f35b00c57b3,dog,4.0,7.4685,limping,3.0,4.891,panting,3.0,4.8912,struggling,3.0,5.0892,breathing,3.0,19.7793
33,607bfcc67adf7f35b00c57b3,man,4.0,5.5081,basketball,4.0,6.5693,ball,4.0,7.4206,hoop,4.0,5.4911,scored,3.0,13.8978
34,607bfcc67adf7f35b00c57b3,car,3.0,6.2451,plane,3.0,4.7975,accident,3.0,7.4936,plane-crash,4.0,15.2007,fire,4.0,4.4663
35,607bfcc67adf7f35b00c57b3,rollerskating,3.0,12.243,fast,3.0,3.8908,winning,3.0,3.841,finish-line,3.0,9.2707,happy,3.0,11.1722
36,607bfcc67adf7f35b00c57b3,boy,4.0,8.0692,home-alone,3.0,18.5279,men,3.0,4.8496,hanging,3.0,9.4711,fear,3.0,7.875
50,5ca63ead08d8d10015d76a6b,chocolate,5.0,6.245,decadent,5.0,4.3656,delicious,5.0,3.699,gooey,5.0,4.4429,tasty,5.0,4.2159
51,5ca63ead08d8d10015d76a6b,war,5.0,5.7772,america,5.0,3.4326,flag,5.0,2.6326,soldier,5.0,3.4329,windy,5.0,6.7163
52,5ca63ead08d8d10015d76a6b,bus,5.0,5.9099,violence,5.0,4.433,punch,5.0,3.0661,arrogant,5.0,5.6679,evil,5.0,4.5822
53,5ca63ead08d8d10015d76a6b,saviour,5.0,3.4922,dog,5.0,2.7163,men,5.0,2.466,ship,5.0,4.0662,freezing,5.0,4.5993
54,5ca63ead08d8d10015d76a6b,woman,5.0,4.8082,sick,5.0,2.3329,disgusting,5.0,4.5659,floor,5.0,4.2823,dress,5.0,2.8826
55,5ca63ead08d8d10015d76a6b,football,5.0,4.6757,woman,5.0,3.4314,exciting,5.0,6.4168,lioness,5.0,4.8994,wonderful,5.0,4.2826
56,5ca63ead08d8d10015d76a6b,oil,5.0,3.7927,bird,5.0,3.1498,saving,5.0,2.733,disaster,5.0,4.466,sick,5.0,2.4285
57,5ca63ead08d8d10015d76a6b,missed,5.0,4.0662,hand,5.0,2.8827,woman,5.0,3.3659,happy,5.0,3.2991,awkward,5.0,4.583
58,5ca63ead08d8d10015d76a6b,grinding,5.0,3.1413,skateboard,5.0,3.3496,injured,5.0,9.283,boy,5.0,2.5824,back,5.0,4.2491
