,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
12,5ebe2e86c03b44036af627e9,tasty,4.0,10.6133,mouth-watering,5.0,5.3237,fancy,5.0,5.498,delicate,4.0,4.789,difficult,5.0,11.1174
13,5ebe2e86c03b44036af627e9,america-winning,5.0,20.0408,collinization,3.0,8.4901,war,4.0,11.173,teamwork,4.0,14.7037,ownership,4.0,10.2196
14,5ebe2e86c03b44036af627e9,gross,5.0,9.3768,assault,5.0,4.1578,unjustified,4.0,6.3144,sneaky,4.0,6.5293,asshole,5.0,4.1958
15,5ebe2e86c03b44036af627e9,cute,4.0,8.4371,nice-thing,5.0,4.5983,helpful,5.0,3.918,sad,3.0,5.419,poor-thing,4.0,6.6105
16,5ebe2e86c03b44036af627e9,gross,5.0,10.4073,disgusting,5.0,4.0085,self-inflicted,4.0,8.7589,yuck,5.0,10.2116,sick,5.0,10.5384
17,5ebe2e86c03b44036af627e9,sporty,5.0,32.5785,comradery,4.0,5.6385,friendly,4.0,6.8476,proud,4.0,5.1044,atheletic,5.0,9.2082
18,5ebe2e86c03b44036af627e9,bright,4.0,15.441,colourful,4.0,9.1581,yellow,4.0,4.4928,fast,3.0,4.6973,calm,3.0,7.7917
19,5ebe2e86c03b44036af627e9,awkward,5.0,3.3902,rejected,3.0,4.2841,sporty,3.0,9.691,unnoticed,4.0,30.2481,cringe,3.0,4.2198
20,5ebe2e86c03b44036af627e9,ouch,5.0,4.3352,painful,4.0,6.0548,mistake,5.0,7.6225,slipped,4.0,57.6934,dangerous,5.0,4.353
21,5ebe2e86c03b44036af627e9,pretty,4.0,4.6258,wealthy,5.0,4.0197,kardashian,5.0,5.3864,celebrity,5.0,4.6692,overabundance,4.0,11.6887
22,5ebe2e86c03b44036af627e9,idiot,5.0,3.636,close-call,4.0,3.7369,reckless,4.0,6.601,lucky,5.0,3.3801,risky,5.0,3.9077
23,5ebe2e86c03b44036af627e9,karma,5.0,5.7156,idiot,5.0,2.8371,dangerous,4.0,3.1021,quick-response,4.0,7.5566,industrial,3.0,29.9752
24,5ebe2e86c03b44036af627e9,disbelief,4.0,6.2729,the-audacity,5.0,4.8879,disagreement,5.0,9.295,political,4.0,20.0004,meeting,4.0,3.8234
25,5ebe2e86c03b44036af627e9,scary,5.0,12.7717,cant-tell-if-rockclimb-or-bike,4.0,12.0774,skilled,4.0,6.6239,outdoorsy,5.0,46.6575,professional,4.0,15.542
26,5ebe2e86c03b44036af627e9,contortionist,4.0,10.7157,weird,4.0,2.6351,confused,5.0,6.4547,pain,3.0,7.3725,difficult,4.0,6.7209
27,5ebe2e86c03b44036af627e9,destruction,5.0,7.0894,rich,4.0,7.4057,natural-disaster,3.0,9.329,fire,5.0,2.9111,relentless,4.0,8.4194
28,5ebe2e86c03b44036af627e9,love,4.0,3.7856,companionship,4.0,4.22,elderly,5.0,5.6296,calm,4.0,4.6691,friendship,3.0,15.1966
29,5ebe2e86c03b44036af627e9,movie-sex-scene,3.0,30.5291,terrible-romance-show,3.0,18.5442,dramatized,4.0,24.195,acting,4.0,5.821,model,4.0,132.1522
30,5ebe2e86c03b44036af627e9,spooky,3.0,7.1684,rip,4.0,7.1396,unlucky,4.0,6.0554,poor-person,4.0,6.803,poor-driver,4.0,8.0573
31,5ebe2e86c03b44036af627e9,calm,4.0,3.7322,pretty,5.0,3.4533,comfortable,4.0,6.5781,pricey,4.0,26.2736,nice,4.0,5.7415
32,5ebe2e86c03b44036af627e9,abuse-maybe,3.0,8.4403,poor-thing,4.0,5.1603,help-them,4.0,16.3981,bad-owner,3.0,7.3643,sad,5.0,6.2391
33,5ebe2e86c03b44036af627e9,confidance,5.0,4.7543,skilled,4.0,3.1498,happy,5.0,4.7282,elated,4.0,5.3334,winning,4.0,13.7454
34,5ebe2e86c03b44036af627e9,uh-oh,4.0,10.9085,mass-casualty,5.0,12.1256,unfortunate,4.0,4.4096,fake,3.0,4.3199,death,5.0,5.6087
35,5ebe2e86c03b44036af627e9,cocky,5.0,3.7143,oblivious,4.0,7.5522,early-celebration,4.0,7.8581,sad,3.0,6.2254,slow,3.0,6.6954
36,5ebe2e86c03b44036af627e9,i-hate-this-movie,5.0,8.4737,it-is-overplayed,5.0,7.9239,boring,4.0,6.4579,overdone,4.0,9.99,acting,5.0,11.6334
