,Unnamed: 0,word,version,vid,vid_name,i,V,A,D
0,0,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
1,5,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
2,13,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
3,16,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
4,20,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
5,31,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
6,35,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
7,41,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
8,46,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
9,57,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
10,61,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
11,70,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
12,81,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
13,91,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
14,95,chocol,1,1,1826.mp4,2304,0.885,0.48,0.418
15,1,fudg,1,1,1826.mp4,5349,0.853,0.418,0.407
16,2,sweet,1,1,1826.mp4,13282,0.828,0.438,0.410333333
17,36,sweet,1,1,1826.mp4,13282,0.828,0.438,0.410333333
18,62,sweet,1,1,1826.mp4,13282,0.828,0.438,0.410333333
19,67,sweet,1,1,1826.mp4,13282,0.828,0.438,0.410333333
20,106,sweet,2,1,1826.mp4,13282,0.828,0.438,0.410333333
21,131,sweet,2,1,1826.mp4,13282,0.828,0.438,0.410333333
22,3223,sweet,1,17,0927.mp4,13282,0.828,0.438,0.410333333
23,3314,sweet,2,17,0927.mp4,13282,0.828,0.438,0.410333333
24,3396,sweet,2,17,0927.mp4,13282,0.828,0.438,0.410333333
25,4196,sweet,2,21,0059.mp4,13282,0.828,0.438,0.410333333
26,3,desert,1,1,1826.mp4,3551,0.21725,0.52475,0.3145
27,15,desert,1,1,1826.mp4,3551,0.21725,0.52475,0.3145
28,68,desert,1,1,1826.mp4,3551,0.21725,0.52475,0.3145
29,4,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
30,7,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
31,10,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
32,19,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
33,25,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
34,49,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
35,55,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
36,64,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
37,66,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
38,79,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
39,89,delici,1,1,1826.mp4,3466,0.927,0.65,0.589
40,121,delici,2,1,1826.mp4,3466,0.927,0.65,0.589
41,192,delici,2,1,1826.mp4,3466,0.927,0.65,0.589
42,6,decad,1,1,1826.mp4,3371,0.352666667,0.472,0.426666667
43,3344,decad,2,17,0927.mp4,3371,0.352666667,0.472,0.426666667
44,8,gooey,1,1,1826.mp4,5686,0.392,0.48,0.445
45,9,tasti,1,1,1826.mp4,13448,0.959,0.786,0.555
46,24,tasti,1,1,1826.mp4,13448,0.959,0.786,0.555
47,69,tasti,1,1,1826.mp4,13448,0.959,0.786,0.555
48,130,tasti,2,1,1826.mp4,13448,0.959,0.786,0.555
49,11,tempt,1,1,1826.mp4,13528,0.4125,0.7085,0.5095
50,119,tempt,2,1,1826.mp4,13528,0.4125,0.7085,0.5095
51,12,melt,1,1,1826.mp4,8223,0.52,0.5425,0.425
52,72,melt,1,1,1826.mp4,8223,0.52,0.5425,0.425
53,76,melt,1,1,1826.mp4,8223,0.52,0.5425,0.425
54,92,melt,1,1,1826.mp4,8223,0.52,0.5425,0.425
55,96,melt,1,1,1826.mp4,8223,0.52,0.5425,0.425
56,14,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
57,21,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
58,45,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
59,53,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
60,58,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
61,60,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
62,77,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
63,80,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
64,90,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
65,99,dessert,1,1,1826.mp4,3566,0.755,0.491,0.404
66,17,cake,1,1,1826.mp4,1863,0.81,0.375,0.287
67,32,cake,1,1,1826.mp4,1863,0.81,0.375,0.287
68,22,excit,1,1,1826.mp4,4569,0.868285714,0.880571429,0.714285714
69,101,excit,2,1,1826.mp4,4569,0.868285714,0.880571429,0.714285714
70,116,excit,2,1,1826.mp4,4569,0.868285714,0.880571429,0.714285714
71,124,excit,2,1,1826.mp4,4569,0.868285714,0.880571429,0.714285714
72,137,excit,2,1,1826.mp4,4569,0.868285714,0.880571429,0.714285714
73,164,excit,2,1,1826.mp4,4569,0.868285714,0.880571429,0.714285714
74,169,excit,2,1,1826.mp4,4569,0.868285714,0.880571429,0.714285714
75,178,excit,2,1,1826.mp4,4569,0.868285714,0.880571429,0.714285714
76,185,excit,2,1,1826.mp4,4569,0.868285714,0.880571429,0.714285714
77,322,excit,2,2,1693.mp4,4569,0.868285714,0.880571429,0.714285714
78,724,excit,2,4,0570.mp4,4569,0.868285714,0.880571429,0.714285714
79,1007,excit,1,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
80,1036,excit,1,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
81,1044,excit,1,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
82,1085,excit,1,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
83,1103,excit,2,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
84,1112,excit,2,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
85,1122,excit,2,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
86,1139,excit,2,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
87,1143,excit,2,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
88,1160,excit,2,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
89,1187,excit,2,6,1210.mp4,4569,0.868285714,0.880571429,0.714285714
90,1425,excit,1,8,1567.mp4,4569,0.868285714,0.880571429,0.714285714
91,1502,excit,2,8,1567.mp4,4569,0.868285714,0.880571429,0.714285714
92,1515,excit,2,8,1567.mp4,4569,0.868285714,0.880571429,0.714285714
93,1531,excit,2,8,1567.mp4,4569,0.868285714,0.880571429,0.714285714
94,1721,excit,2,9,1768.mp4,4569,0.868285714,0.880571429,0.714285714
95,1877,excit,1,10,1791.mp4,4569,0.868285714,0.880571429,0.714285714
96,1889,excit,1,10,1791.mp4,4569,0.868285714,0.880571429,0.714285714
97,1906,excit,2,10,1791.mp4,4569,0.868285714,0.880571429,0.714285714
98,1937,excit,2,10,1791.mp4,4569,0.868285714,0.880571429,0.714285714
99,1986,excit,2,10,1791.mp4,4569,0.868285714,0.880571429,0.714285714
100,2110,excit,2,11,2120.mp4,4569,0.868285714,0.880571429,0.714285714
101,2120,excit,2,11,2120.mp4,4569,0.868285714,0.880571429,0.714285714
102,2628,excit,1,14,1037.mp4,4569,0.868285714,0.880571429,0.714285714
103,2722,excit,2,14,1037.mp4,4569,0.868285714,0.880571429,0.714285714
104,2903,excit,2,15,0510.mp4,4569,0.868285714,0.880571429,0.714285714
105,2922,excit,2,15,0510.mp4,4569,0.868285714,0.880571429,0.714285714
106,3169,excit,2,16,0208.mp4,4569,0.868285714,0.880571429,0.714285714
107,3173,excit,2,16,0208.mp4,4569,0.868285714,0.880571429,0.714285714
108,3419,excit,1,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
109,3439,excit,1,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
110,3452,excit,1,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
111,3515,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
112,3520,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
113,3527,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
114,3530,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
115,3534,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
116,3535,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
117,3547,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
118,3552,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
119,3556,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
120,3561,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
121,3570,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
122,3586,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
123,3592,excit,2,18,1610.mp4,4569,0.868285714,0.880571429,0.714285714
124,3767,excit,2,19,0532.mp4,4569,0.868285714,0.880571429,0.714285714
125,3918,excit,2,20,1372.mp4,4569,0.868285714,0.880571429,0.714285714
126,4205,excit,1,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
127,4215,excit,1,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
128,4227,excit,1,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
129,4237,excit,1,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
130,4245,excit,1,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
131,4265,excit,1,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
132,4277,excit,1,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
133,4300,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
134,4314,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
135,4315,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
136,4320,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
137,4334,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
138,4335,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
139,4361,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
140,4370,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
141,4385,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
142,4391,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
143,4395,excit,2,22,0540.mp4,4569,0.868285714,0.880571429,0.714285714
144,4721,excit,2,24,0088.mp4,4569,0.868285714,0.880571429,0.714285714
145,4735,excit,2,24,0088.mp4,4569,0.868285714,0.880571429,0.714285714
146,4768,excit,2,24,0088.mp4,4569,0.868285714,0.880571429,0.714285714
147,4987,excit,2,25,1544.mp4,4569,0.868285714,0.880571429,0.714285714
148,23,reveal,1,1,1826.mp4,11242,0.493,0.637,0.526
149,27,sugar,1,1,1826.mp4,13128,0.896,0.382,0.402
150,134,sugar,2,1,1826.mp4,13128,0.896,0.382,0.402
151,28,calori,1,1,1826.mp4,1887,0.333,0.54,0.427
152,29,treat,1,1,1826.mp4,13968,0.573,0.571,0.436
153,30,yummi,1,1,1826.mp4,15349,0.878,0.55,0.658
154,148,yummi,2,1,1826.mp4,15349,0.878,0.55,0.658
155,34,plate,1,1,1826.mp4,10008,0.573666667,0.357,0.418666667
156,38,plate,1,1,1826.mp4,10008,0.573666667,0.357,0.418666667
157,42,plate,1,1,1826.mp4,10008,0.573666667,0.357,0.418666667
158,37,sauc,1,1,1826.mp4,11596,0.562,0.515,0.288
159,47,sauc,1,1,1826.mp4,11596,0.562,0.515,0.288
160,73,sauc,1,1,1826.mp4,11596,0.562,0.515,0.288
161,39,strawberri,1,1,1826.mp4,12971,0.833,0.27,0.336
162,52,strawberri,1,1,1826.mp4,12971,0.833,0.27,0.336
163,40,food,1,1,1826.mp4,5126,0.888,0.324,0.527
164,54,food,1,1,1826.mp4,5126,0.888,0.324,0.527
165,3842,food,1,20,1372.mp4,5126,0.888,0.324,0.527
166,3868,food,1,20,1372.mp4,5126,0.888,0.324,0.527
167,3886,food,1,20,1372.mp4,5126,0.888,0.324,0.527
168,43,ball,1,1,1826.mp4,950,0.74,0.427,0.317
169,51,ball,1,1,1826.mp4,950,0.74,0.427,0.317
170,1485,ball,1,8,1567.mp4,950,0.74,0.427,0.317
171,4202,ball,1,22,0540.mp4,950,0.74,0.427,0.317
172,4238,ball,1,22,0540.mp4,950,0.74,0.427,0.317
173,44,pour,1,1,1826.mp4,10220,0.448,0.57,0.375
174,94,pour,1,1,1826.mp4,10220,0.448,0.57,0.375
