,Word,V,A,D
0,aaaaaaah,0.479,0.606,0.291
1,aaaah,0.52,0.636,0.282
2,aardvark,0.427,0.49,0.437
3,aback,0.385,0.407,0.288
4,abacu,0.51,0.276,0.485
5,abalon,0.5,0.48,0.412
6,abandon,0.07533333333333334,0.4766666666666666,0.19233333333333333
7,abash,0.177,0.644,0.307
8,abat,0.3215,0.517,0.47
9,abba,0.562,0.5,0.48
10,abbey,0.58,0.367,0.444
11,abbot,0.427,0.321,0.483
12,abbrevi,0.5,0.3405,0.3375
13,abdomen,0.469,0.462,0.471
14,abdomin,0.49,0.456,0.445
15,abduct,0.1175,0.855,0.644
16,aberr,0.1355,0.7905,0.424
17,abey,0.33,0.51,0.292
18,abhor,0.125,0.602,0.349
19,abhorr,0.198,0.7170000000000001,0.44699999999999995
20,abi,0.385,0.452,0.368
21,abid,0.7155,0.3405,0.7275
22,abil,0.875,0.51,0.816
23,abject,0.354,0.59,0.417
24,abl,0.786,0.5,0.81
25,ablat,0.418,0.5,0.5
26,ablaz,0.24,0.847,0.525
27,abnorm,0.1145,0.6295,0.346
28,aboard,0.698,0.284,0.481
29,abod,0.62,0.302,0.5
30,abolish,0.448,0.615,0.529
31,abolit,0.323,0.69,0.529
32,abomin,0.132,0.758,0.45533333333333337
33,aborigin,0.448,0.427,0.542
34,abort,0.10833333333333334,0.7440000000000001,0.33066666666666666
35,abound,0.704,0.49,0.681
36,abovement,0.541,0.298,0.509
37,abracadabra,0.673,0.632,0.434
38,abras,0.399,0.601,0.517
39,abreast,0.635,0.38,0.519
40,abroad,0.677,0.596,0.561
41,abrog,0.327,0.51,0.594
42,abrupt,0.271,0.819,0.545
43,abruptli,0.25,0.808,0.556
44,abscess,0.154,0.451,0.349
45,absenc,0.153,0.235,0.266
46,absent,0.177,0.221,0.116
47,absente,0.3195,0.3015,0.318
48,absinth,0.481,0.51,0.462
49,absolut,0.6205,0.505,0.7455
50,absolv,0.684,0.449,0.66
51,absorb,0.50025,0.47825,0.62125
52,absorpt,0.609,0.422,0.446
53,abstain,0.385,0.385,0.427
54,abstent,0.271,0.264,0.509
55,abstin,0.26,0.392,0.429
56,abstract,0.4535,0.3655,0.48450000000000004
57,absurd,0.1515,0.5920000000000001,0.2555
58,abund,0.885,0.6399999999999999,0.806
59,abus,0.07233333333333333,0.8833333333333333,0.42366666666666664
60,abut,0.5,0.265,0.616
61,abysm,0.25,0.71,0.598
62,abyss,0.353,0.725,0.296
63,academ,0.781,0.42,0.812
64,academi,0.704,0.473,0.792
65,acced,0.698,0.51,0.537
66,acceler,0.633,0.8586,0.7796000000000001
67,accent,0.598,0.357,0.509
68,accentu,0.673,0.556,0.667
69,accept,0.83475,0.31799999999999995,0.63775
70,access,0.7073333333333333,0.42166666666666663,0.616
71,accessori,0.562,0.292,0.445
72,accid,0.125,0.908,0.336
73,accident,0.326,0.7625,0.32
74,acclaim,0.562,0.809,0.718
75,accolad,0.688,0.591,0.775
76,accommod,0.8305,0.395,0.5765
77,accompani,0.7866666666666666,0.4483333333333333,0.6206666666666666
78,accomplic,0.408,0.58,0.51
79,accomplish,0.9053333333333334,0.629,0.834
