word,version,V,A,count
sad,2,0.1385,0.3105,12
happi,2,0.98,0.7335,6
hope,2,0.86875,0.41075,6
calm,2,0.898,0.103333333,3
curiou,2,0.635,0.6,3
anger,2,0.0885,0.8625,2
bird,1,0.729,0.357,12
oil,1,0.49,0.2535,7
clean,1,0.711,0.283,4
help,1,0.7445,0.404,4
pelican,1,0.573,0.391,4
angri,2,0.122,0.83,2
annoy,2,0.1186,0.7794,2
rescu,1,0.806,0.926,4
bore,2,0.254666667,0.274666667,2
feather,1,0.5575,0.248,3
clean,2,0.711,0.283,2
injur,1,0.111,0.726666667,3
save,1,0.736333333,0.366666667,3
compass,2,0.638,0.2825,2
concern,2,0.271,0.716,2
disgust,2,0.044666667,0.781333333,2
interest,2,0.819,0.640666667,2
kind,2,0.928,0.295,2
care,1,0.67175,0.42675,2
optimist,2,0.927,0.5595,2
relief,2,0.844,0.278,2
safe,2,0.898,0.306,2
disast,1,0.082,0.892,2
sympathet,2,0.796,0.434,2
sympathi,2,0.827,0.497,2
unsur,2,0.143,0.58,2
admir,2,0.884142857,0.603285714,1
amus,2,0.91075,0.79925,1
environ,1,0.643666667,0.234333333,2
man,1,0.551,0.588,2
pollut,1,0.1175,0.677,2
anxiou,2,0.281,0.875,1
care,2,0.67175,0.42675,1
confid,2,0.8075,0.42625,1
cruel,2,0.122,0.866,1
depress,2,0.1126,0.5186,1
scare,1,0.13,0.861666667,2
spill,1,0.408,0.633,2
determin,2,0.6806,0.5,1
vet,1,0.531,0.4,2
disappoint,2,0.10225,0.55875,1
attend,1,0.680666667,0.428333333,1
disast,2,0.082,0.892,1
dishearten,2,0.0815,0.348,1
distress,2,0.097,0.787,1
disturb,2,0.148,0.83225,1
batter,1,0.283666667,0.611,1
frustrat,2,0.0856,0.7078,1
beak,1,0.375,0.363,1
blue,1,0.5575,0.1785,1
great,2,0.957,0.662,1
cleanup,1,0.729,0.314,1
greed,2,0.173,0.78,1
guilti,2,0.135,0.77,1
compass,1,0.638,0.2825,1
impress,2,0.77175,0.72525,1
cut,1,0.472333333,0.419,1
inquisit,2,0.301,0.637,1
fli,1,0.8185,0.6905,1
inspir,2,0.9375,0.66225,1
high,1,0.712,0.59,1
horribl,1,0.0605,0.744,1
irrespons,2,0.177,0.68,1
nervou,2,0.235,0.82,1
oil,2,0.49,0.2535,1
peac,2,0.902333333,0.151333333,1
kind,1,0.928,0.295,1
pensiv,2,0.54,0.22,1
natur,1,0.8212,0.238,1
piti,2,0.1895,0.444,1
pain,1,0.0872,0.68,1
powerless,2,0.125,0.5,1
peopl,1,0.599,0.425,1
pleasant,1,0.939,0.31,1
sad,1,0.1385,0.3105,1
sadden,1,0.104,0.436,1
sick,1,0.099,0.5675,1
proud,2,0.906,0.7,1
reliev,2,0.816333333,0.250666667,1
soft,1,0.8175,0.1325,1
respons,2,0.757,0.524,1
thank,2,0.9405,0.42675,1
unhappi,2,0.0975,0.565,1
unjust,2,0.115,0.625,1
upset,2,0.071,0.68,1
tabl,1,0.551,0.17,1
veterinari,1,0.656,0.45,1
volunt,1,0.850666667,0.494666667,1
vultur,1,0.316,0.604,1
water,1,0.7135,0.2065,1
wildlif,1,0.656,0.53,1
wing,1,0.604,0.362,1
wonder,2,0.952,0.7465,1
worker,1,0.719,0.598,1
worri,1,0.12,0.75725,1
yellow,1,0.6205,0.2905,1
