,participant,word1,rating1,word2,rating2,word3,rating3,word4,rating4,word5,rating5
12,607bfcc67adf7f35b00c57b3,chocolate,4.0,fudge,3.0,sweet,3.0,desert,3.0,delicious,3.0
13,607bfcc67adf7f35b00c57b3,usa,5.0,flag,5.0,soldiers,5.0,proud,3.0,country,3.0
14,607bfcc67adf7f35b00c57b3,men,3.0,people,2.0,walking,2.0,hitting,3.0,violence,2.0
15,607bfcc67adf7f35b00c57b3,rescue,4.0,boat,3.0,dog,3.0,iceberg,3.0,water,4.0
16,607bfcc67adf7f35b00c57b3,woman,3.0,floor,3.0,sick,3.0,vomiting,4.0,unwell,2.0
17,607bfcc67adf7f35b00c57b3,team,3.0,women,3.0,happy,4.0,teamwork,3.0,sports,3.0
18,607bfcc67adf7f35b00c57b3,wing,4.0,feather,3.0,people,3.0,cleaning,3.0,helping,3.0
19,607bfcc67adf7f35b00c57b3,people,3.0,hi-five,3.0,sports,3.0,game,3.0,happy,3.0
20,607bfcc67adf7f35b00c57b3,skateboard,4.0,boy,4.0,fall,4.0,injury,4.0,fell,3.0
21,607bfcc67adf7f35b00c57b3,lady,4.0,money,4.0,throwing,2.0,celebrity,4.0,rich,3.0
22,607bfcc67adf7f35b00c57b3,car,4.0,train,3.0,passing,3.0,fast,3.0,suspence,3.0
23,607bfcc67adf7f35b00c57b3,car,3.0,police,3.0,turning,3.0,driving,3.0,slow,2.0
24,607bfcc67adf7f35b00c57b3,lady,5.0,hilary,5.0,politician,4.0,smirk,3.0,face,3.0
25,607bfcc67adf7f35b00c57b3,rock,3.0,mountain,3.0,high,3.0,slow,3.0,movement,3.0
26,607bfcc67adf7f35b00c57b3,animal,3.0,cart,3.0,slow,3.0,movement,3.0,ride,2.0
27,607bfcc67adf7f35b00c57b3,fire,4.0,smoke,5.0,danger,2.0,air,2.0,congestion,2.0
28,607bfcc67adf7f35b00c57b3,old-couple,4.0,piano,3.0,affection,3.0,sitting,3.0,relaxed,3.0
29,607bfcc67adf7f35b00c57b3,couple,3.0,sex-act,3.0,movement,2.0,slow,2.0,couple,3.0
30,607bfcc67adf7f35b00c57b3,dark,4.0,driving,4.0,fast,3.0,car,3.0,accident,3.0
31,607bfcc67adf7f35b00c57b3,window,4.0,restaurant,4.0,cab,3.0,reflection,3.0,mirror,2.0
32,607bfcc67adf7f35b00c57b3,dog,4.0,limping,3.0,panting,3.0,struggling,3.0,breathing,3.0
33,607bfcc67adf7f35b00c57b3,man,4.0,basketball,4.0,ball,4.0,hoop,4.0,scored,3.0
34,607bfcc67adf7f35b00c57b3,car,3.0,plane,3.0,accident,3.0,plane-crash,4.0,fire,4.0
35,607bfcc67adf7f35b00c57b3,rollerskating,3.0,fast,3.0,winning,3.0,finish-line,3.0,happy,3.0
36,607bfcc67adf7f35b00c57b3,boy,4.0,home-alone,3.0,men,3.0,hanging,3.0,fear,3.0
50,5ca63ead08d8d10015d76a6b,chocolate,5.0,decadent,5.0,delicious,5.0,gooey,5.0,tasty,5.0
51,5ca63ead08d8d10015d76a6b,war,5.0,america,5.0,flag,5.0,soldiers,5.0,windy,5.0
52,5ca63ead08d8d10015d76a6b,bus,5.0,violence,5.0,punch,5.0,arrogant,5.0,evil,5.0
53,5ca63ead08d8d10015d76a6b,saviour,5.0,dog,5.0,men,5.0,ship,5.0,freezing,5.0
54,5ca63ead08d8d10015d76a6b,woman,5.0,sick,5.0,disgusting,5.0,floor,5.0,dress,5.0
55,5ca63ead08d8d10015d76a6b,football,5.0,women,5.0,exciting,5.0,lionesses,5.0,wonderful,5.0
56,5ca63ead08d8d10015d76a6b,oil,5.0,bird,5.0,saving,5.0,disaster,5.0,sick,5.0
57,5ca63ead08d8d10015d76a6b,missed,5.0,hand,5.0,woman,5.0,happy,5.0,awkward,5.0
58,5ca63ead08d8d10015d76a6b,grinding,5.0,skateboard,5.0,injured,5.0,boy,5.0,back,5.0
59,5ca63ead08d8d10015d76a6b,woman,5.0,money,5.0,cash,5.0,frivolous,5.0,free,5.0
60,5ca63ead08d8d10015d76a6b,close,5.0,car,5.0,stupid,5.0,train,5.0,deadly,5.0
61,5ca63ead08d8d10015d76a6b,idiot,5.0,police,5.0,caught,5.0,bad,5.0,taxi,5.0
62,5ca63ead08d8d10015d76a6b,unimpressed,5.0,woman,5.0,eyebrows,5.0,cross,5.0,mad,5.0
63,5ca63ead08d8d10015d76a6b,extreme,5.0,sports,5.0,bike,5.0,person,5.0,crazy,5.0
64,5ca63ead08d8d10015d76a6b,weird,5.0,hand,5.0,thing,5.0,odd,5.0,wheels,5.0
65,5ca63ead08d8d10015d76a6b,fire,5.0,house,5.0,smoke,5.0,danger,5.0,injury,5.0
66,5ca63ead08d8d10015d76a6b,love,5.0,content,5.0,happy,5.0,easy,5.0,restful,5.0
67,5ca63ead08d8d10015d76a6b,sexual,5.0,erotic,5.0,licking,5.0,hair,5.0,orgasm,5.0
68,5ca63ead08d8d10015d76a6b,driving,5.0,person,5.0,hit,5.0,car,5.0,injured,5.0
69,5ca63ead08d8d10015d76a6b,usa,5.0,coffee,5.0,shop,5.0,taxi,5.0,newyork,5.0
70,5ca63ead08d8d10015d76a6b,injured,5.0,dog,5.0,thirsty,5.0,legs,5.0,walk,5.0
71,5ca63ead08d8d10015d76a6b,excitement,5.0,basketball,5.0,strong,5.0,happy,5.0,win,5.0
72,5ca63ead08d8d10015d76a6b,plane,5.0,crash,5.0,windy,5.0,movement,5.0,disaster,5.0
73,5ca63ead08d8d10015d76a6b,skating,5.0,loser,5.0,cocky,5.0,silly,5.0,lost,5.0
74,5ca63ead08d8d10015d76a6b,child,5.0,home,5.0,burglers,5.0,christmas,5.0,movie,5.0
88,5fff11332f30d263176fa57f,delicious,5.0,tempting,5.0,melting,5.0,chocolate,5.0,dessert,5.0
89,5fff11332f30d263176fa57f,inspiring,5.0,flag,4.0,war,3.0,america,4.0,soldiers,5.0
90,5fff11332f30d263176fa57f,shocking,5.0,assault,5.0,thug,5.0,criminal,5.0,awful,5.0
91,5fff11332f30d263176fa57f,ice,4.0,cold,4.0,stuck,5.0,rescue,5.0,floating,3.0
92,5fff11332f30d263176fa57f,disgusting,5.0,sick,5.0,graphic,5.0,puking,5.0,horrible,5.0
93,5fff11332f30d263176fa57f,happy,5.0,delight,5.0,football,5.0,women,5.0,usa,4.0
94,5fff11332f30d263176fa57f,pollution,4.0,horrible,4.0,oil,5.0,environment,5.0,cleanup,4.0
95,5fff11332f30d263176fa57f,celebrations,4.0,crowd,5.0,sports,5.0,happy,4.0,fans,5.0
96,5fff11332f30d263176fa57f,ouch,5.0,fall,5.0,skateboard,4.0,injury,3.0,hurt,3.0
97,5fff11332f30d263176fa57f,cash,5.0,money,5.0,gif,5.0,kim,2.0,makeitrain,3.0
98,5fff11332f30d263176fa57f,lucky,5.0,escape,5.0,car,5.0,train,5.0,close,5.0
99,5fff11332f30d263176fa57f,traffic,4.0,cars,4.0,driving,5.0,drivers,3.0,turn,3.0
100,5fff11332f30d263176fa57f,hilary,5.0,woman,3.0,laughing,4.0,clinton,5.0,listening,3.0
101,5fff11332f30d263176fa57f,crazy,5.0,scene,4.0,cycle,4.0,daredevil,4.0,riding,4.0
102,5fff11332f30d263176fa57f,weird,5.0,odd,5.0,strange,5.0,freaky,5.0,unsure,4.0
103,5fff11332f30d263176fa57f,fire,5.0,devastation,5.0,damage,5.0,firefighters,5.0,damage,5.0
104,5fff11332f30d263176fa57f,cute,5.0,couple,5.0,older,5.0,love,5.0,happy,4.0
105,5fff11332f30d263176fa57f,unclear,3.0,bad,3.0,up,2.0,calm,3.0,normal,3.0
106,5fff11332f30d263176fa57f,crash,5.0,dark,5.0,driving,5.0,injury,5.0,awful,5.0
107,5fff11332f30d263176fa57f,cafe,5.0,calm,5.0,relaxing,5.0,nice,4.0,seats,4.0
108,5fff11332f30d263176fa57f,dog,5.0,crawling,4.0,grass,4.0,legs,3.0,tongue,3.0
109,5fff11332f30d263176fa57f,lebron,5.0,dunk,5.0,basketball,5.0,amazing,5.0,physical,5.0
