,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
12,596f003434773e0001fc0d28,hungry,5.0,9.783,excited,4.0,7.947,happy,5.0,13.392,satisfied,4.0,7.697,craving,4.0,18.643
13,596f003434773e0001fc0d28,triumphant,4.0,8.74,stoic,3.0,12.936,reserved,3.0,6.833,reflective,4.0,23.903,wondering,3.0,13.605
14,596f003434773e0001fc0d28,upset,5.0,4.961,horrified,5.0,4.075,taken-aback,5.0,5.694,disappointed,5.0,5.279,shocked,5.0,5.412
15,596f003434773e0001fc0d28,anxious,5.0,4.81,nervous,5.0,4.202,satisfied,4.0,8.923,curious,4.0,14.509,compassion,4.0,10.684
16,596f003434773e0001fc0d28,disgusted,5.0,7.412,upset,4.0,5.813,abhorrent,4.0,14.004,yucky,5.0,20.195,turn-away,5.0,25.87
17,596f003434773e0001fc0d28,happya,4.0,5.345,impressed,4.0,5.234,energized,4.0,5.162,excited,4.0,8.654,relieved,4.0,21.862
18,596f003434773e0001fc0d28,sad,4.0,5.035,hopeful,4.0,3.82,disgust,2.0,13.54,upset,4.0,11.105,compassion,4.0,5.002
19,596f003434773e0001fc0d28,confused,4.0,5.154,unsure,4.0,4.111,excited,3.0,8.189,energized,4.0,13.128,pumped,3.0,6.918
20,596f003434773e0001fc0d28,empathy,4.0,4.159,anxious,4.0,6.17,worry,4.0,3.192,wonder,3.0,5.201,concerned,4.0,6.632
21,596f003434773e0001fc0d28,annoyed,4.0,5.469,frustrated,4.0,4.8,less-than,4.0,23.163,underappreciated,4.0,7.146,jealous,4.0,11.273
22,596f003434773e0001fc0d28,concerned,4.0,7.363,afraid,5.0,3.125,worried,5.0,4.987,nervous,4.0,7.03,relieved,5.0,5.244
23,596f003434773e0001fc0d28,confused,3.0,6.485,angry,4.0,4.327,annoyed,4.0,3.284,frustrated,4.0,3.893,rage,5.0,32.045
24,596f003434773e0001fc0d28,wonder,3.0,5.252,disbelief,3.0,3.932,curiousity,3.0,15.874,frustrated,3.0,13.026,let-down,3.0,7.18
