,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
12,607bfcc67adf7f35b00c57b3,chocol,4.0,14.2217,fudg,3.0,10.6198,sweet,3.0,7.8915,desert,3.0,10.8687,delici,3.0,7.8755
13,607bfcc67adf7f35b00c57b3,usa,5.0,13.9614,flag,5.0,4.793,soldier,5.0,12.6992,proud,3.0,9.4716,countri,3.0,12.9789
14,607bfcc67adf7f35b00c57b3,men,3.0,16.941,peopl,2.0,7.6517,walk,2.0,6.4667,hit,3.0,7.8199,violenc,2.0,6.6197
15,607bfcc67adf7f35b00c57b3,rescu,4.0,7.6848,boat,3.0,6.0914,dog,3.0,8.0197,iceberg,3.0,8.9948,water,4.0,5.8188
16,607bfcc67adf7f35b00c57b3,woman,3.0,6.6165,floor,3.0,9.5495,sick,3.0,9.9784,vomit,4.0,6.7995,unwel,2.0,10.6745
17,607bfcc67adf7f35b00c57b3,team,3.0,7.0539,women,3.0,12.278,happi,4.0,9.8686,teamwork,3.0,8.0989,sport,3.0,5.4447
18,607bfcc67adf7f35b00c57b3,wing,4.0,8.8434,feather,3.0,6.275,peopl,3.0,8.5954,clean,3.0,5.5692,help,3.0,7.273
19,607bfcc67adf7f35b00c57b3,peopl,3.0,7.904,hi-fiv,3.0,12.9772,sport,3.0,5.5932,game,3.0,8.6427,happi,3.0,7.9943
20,607bfcc67adf7f35b00c57b3,skateboard,4.0,9.1565,boy,4.0,5.0478,fall,4.0,5.343,injuri,4.0,7.7677,fell,3.0,6.8182
21,607bfcc67adf7f35b00c57b3,ladi,4.0,9.9958,money,4.0,5.5677,throw,2.0,18.9521,celebr,4.0,18.7334,rich,3.0,8.7281
22,607bfcc67adf7f35b00c57b3,car,4.0,7.2769,train,3.0,8.0958,pass,3.0,12.8732,fast,3.0,12.2229,suspenc,3.0,9.1489
23,607bfcc67adf7f35b00c57b3,car,3.0,7.0312,polic,3.0,6.3185,turn,3.0,9.1452,drive,3.0,8.5702,slow,2.0,9.5968
24,607bfcc67adf7f35b00c57b3,ladi,5.0,17.115,hilari,5.0,13.7752,politician,4.0,9.3007,smirk,3.0,10.4286,face,3.0,5.5007
25,607bfcc67adf7f35b00c57b3,rock,3.0,5.304,mountain,3.0,8.502,high,3.0,6.1246,slow,3.0,5.8981,movement,3.0,5.6457
26,607bfcc67adf7f35b00c57b3,anim,3.0,7.1972,cart,3.0,5.4345,slow,3.0,3.7012,movement,3.0,8.9924,ride,2.0,4.1994
27,607bfcc67adf7f35b00c57b3,fire,4.0,5.7442,smoke,5.0,5.9506,danger,2.0,21.9565,air,2.0,5.9032,congest,2.0,8.7975
28,607bfcc67adf7f35b00c57b3,old-coupl,4.0,17.7869,piano,3.0,5.5506,affect,3.0,13.1747,sit,3.0,4.6764,relax,3.0,4.1659
29,607bfcc67adf7f35b00c57b3,coupl,3.0,9.3226,sex-act,3.0,8.3761,movement,2.0,13.8586,slow,2.0,13.2235,coupl,3.0,15.4988
30,607bfcc67adf7f35b00c57b3,dark,4.0,5.3008,drive,4.0,5.4013,fast,3.0,6.4206,car,3.0,4.6646,accid,3.0,8.9057
31,607bfcc67adf7f35b00c57b3,window,4.0,5.9764,restaur,4.0,7.4684,cab,3.0,6.1185,reflect,3.0,10.3715,mirror,2.0,10.9216
32,607bfcc67adf7f35b00c57b3,dog,4.0,7.4685,limp,3.0,4.891,pant,3.0,4.8912,struggl,3.0,5.0892,breath,3.0,19.7793
33,607bfcc67adf7f35b00c57b3,man,4.0,5.5081,basketbal,4.0,6.5693,ball,4.0,7.4206,hoop,4.0,5.4911,score,3.0,13.8978
