,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
12,5c4f91fd97483d0001567f1b,crave,4.0,3.8696,interest,4.0,5.1453,full,3.0,5.7293,greed,2.0,7.0132,hungri,3.0,10.5124
13,5c4f91fd97483d0001567f1b,calm,4.0,10.6541,neutral,5.0,12.9137,de-ja-vu,4.0,9.6474,distant,4.0,11.5643,known,3.0,4.7624
14,5c4f91fd97483d0001567f1b,shock,5.0,3.6863,disgust,5.0,6.229,anger,5.0,3.4623,sympathi,5.0,4.3957,annoy,5.0,5.58
15,5c4f91fd97483d0001567f1b,on-tenderhook,5.0,7.4364,glad,5.0,4.6122,supris,4.0,4.7622,captiv,5.0,4.746,happy-end,5.0,5.6791
16,5c4f91fd97483d0001567f1b,disgust,5.0,7.1138,gross,5.0,3.1965,nauseou,5.0,12.0462,distast,5.0,9.7794,abhor,5.0,3.6464
17,5c4f91fd97483d0001567f1b,neutral,5.0,4.3192,delight,3.0,8.4457,celebr,3.0,5.5136,worthi,3.0,6.3955,calm,4.0,3.495
18,5c4f91fd97483d0001567f1b,sad,5.0,3.48,annoy,5.0,4.1286,sympathi,5.0,6.5957,unjust,5.0,4.1122,powerless,5.0,4.5793
19,5c4f91fd97483d0001567f1b,awkward,5.0,4.3616,neutral,4.0,5.4621,smile,4.0,5.5124,calm,4.0,3.4131,unsur,4.0,4.063
20,5c4f91fd97483d0001567f1b,pain,5.0,3.054,scari,5.0,4.963,sympathi,5.0,12.8628,distast,5.0,12.1633,feeling-their-pain,3.0,16.2633
21,5c4f91fd97483d0001567f1b,de-ja-vu,4.0,12.1469,neutral,4.0,6.3135,want,4.0,5.1122,hope,5.0,6.0971,realist,2.0,5.746
22,5c4f91fd97483d0001567f1b,relief,5.0,2.6204,shock,5.0,3.5298,supris,4.0,4.1955,on-tenderhook,4.0,4.88,dread,4.0,18.6809
23,5c4f91fd97483d0001567f1b,annoy,4.0,3.403,good-karma,4.0,5.9788,justice-serv,4.0,5.412,irrit,4.0,14.9803,supris,5.0,6.0116
24,5c4f91fd97483d0001567f1b,nonchal,5.0,7.7196,old,3.0,7.2123,de-ja-vu,4.0,6.2626,fair,4.0,11.0308,calm,4.0,9.5797
25,5c4f91fd97483d0001567f1b,shock,5.0,4.8027,in-aw,4.0,7.4464,mesmeris,5.0,8.7461,interest,5.0,8.1947,hook,4.0,2.6287
26,5c4f91fd97483d0001567f1b,baffl,5.0,3.5857,curiou,5.0,4.4784,confus,5.0,3.9799,lost,5.0,4.9789,intrigu,5.0,3.4124
27,5c4f91fd97483d0001567f1b,supris,5.0,5.0803,baffl,5.0,3.1453,on-tenderhook,4.0,5.7293,fear,4.0,5.7292,intrigu,3.0,3.8961
28,5c4f91fd97483d0001567f1b,cute,5.0,5.1693,sweet,5.0,5.1294,want,4.0,2.9122,love,4.0,6.1908,happi,4.0,3.9632
29,5c4f91fd97483d0001567f1b,bemus,4.0,6.6308,baffl,4.0,5.6301,confus,3.0,6.4464,calm,4.0,9.5883,neutral,5.0,8.3639
30,5c4f91fd97483d0001567f1b,scare,5.0,3.3333,shock,5.0,2.9434,baffl,5.0,2.6169,surpris,5.0,8.3138,confus,5.0,4.0804
31,5c4f91fd97483d0001567f1b,neutral,5.0,3.1276,calm,5.0,2.049,intrigu,5.0,3.5078,interest,5.0,3.7316,unsur,4.0,7.4604
32,5c4f91fd97483d0001567f1b,sad,4.0,3.7787,sweet,4.0,19.4813,sympathi,5.0,5.4222,hope,4.0,14.1818,care,5.0,3.9812
33,5c4f91fd97483d0001567f1b,excitedd,5.0,7.1108,surpris,5.0,10.1337,drawn-in,4.0,4.963,rooting-for,4.0,5.9349,delight,4.0,6.5164
34,5c4f91fd97483d0001567f1b,shock,5.0,3.57,speechless,5.0,8.0898,baffl,5.0,9.6314,sad,5.0,2.7956,unsur,5.0,15.29
35,5c4f91fd97483d0001567f1b,feel-for,4.0,10.9844,calm,4.0,5.6126,intrigu,4.0,3.8726,empathis,4.0,18.6624,lost,3.0,4.413
36,5c4f91fd97483d0001567f1b,nostalgia,4.0,7.2314,bemus,4.0,5.6128,shock,4.0,3.1479,drawn-in,4.0,14.2525,de-ja-vu,4.0,8.605
