,participant,word1,rating1,slider1.rt,word2,rating2,slider2.rt,word3,rating3,slider3.rt,word4,rating4,slider4.rt,word5,rating5,slider5.rt
0,596f003434773e0001fc0d28,hungri,5,9.783,excit,4,7.947,happi,5,13.392,satisfi,4,7.697,crave,4,18.643
1,596f003434773e0001fc0d28,triumphant,4,8.74,stoic,3,12.936,reserv,3,6.833,reflect,4,23.903,wonder,3,13.605
2,596f003434773e0001fc0d28,upset,5,4.961,horrifi,5,4.075,taken-aback,5,5.694,disappoint,5,5.279,shock,5,5.412
3,596f003434773e0001fc0d28,anxiou,5,4.81,nervou,5,4.202,satisfi,4,8.923,curiou,4,14.509,compass,4,10.684
4,596f003434773e0001fc0d28,disgust,5,7.412,upset,4,5.813,abhorr,4,14.004,yucki,5,20.195,turn-away,5,25.87
5,596f003434773e0001fc0d28,happi,4,5.345,impress,4,5.234,energ,4,5.162,excit,4,8.654,reliev,4,21.862
6,596f003434773e0001fc0d28,sad,4,5.035,hope,4,3.82,disgust,2,13.54,upset,4,11.105,compass,4,5.002
7,596f003434773e0001fc0d28,confus,4,5.154,unsur,4,4.111,excit,3,8.189,energ,4,13.128,pump,3,6.918
8,596f003434773e0001fc0d28,empathi,4,4.159,anxiou,4,6.17,worri,4,3.192,wonder,3,5.201,concern,4,6.632
9,596f003434773e0001fc0d28,annoy,4,5.469,frustrat,4,4.8,less-than,4,23.163,underappreci,4,7.146,jealou,4,11.273
10,596f003434773e0001fc0d28,concern,4,7.363,afraid,5,3.125,worri,5,4.987,nervou,4,7.03,reliev,5,5.244
11,596f003434773e0001fc0d28,confus,3,6.485,angri,4,4.327,annoy,4,3.284,frustrat,4,3.893,rage,5,32.045
12,596f003434773e0001fc0d28,wonder,3,5.252,disbelief,3,3.932,curios,3,15.874,frustrat,3,13.026,let-down,3,7.18
13,596f003434773e0001fc0d28,nervou,4,4.728,in-aw,5,3.826,anxiou,4,9.172,fear,4,3.351,exhilar,4,7.081
14,596f003434773e0001fc0d28,intrigu,4,4.977,curiou,5,3.367,wonder,5,4.595,excit,3,12.169,exhilar,3,46.705
15,596f003434773e0001fc0d28,horror,4,6.162,shock,4,3.636,worri,4,3.292,fear,4,3.743,sad,4,3.53
16,596f003434773e0001fc0d28,heart-warm,4,9.866,compass,4,3.553,warmth,4,3.878,empathi,3,5.412,happi,4,3.726
17,596f003434773e0001fc0d28,disgust,3,8.454,nervou,3,15.64,anxiou,3,3.867,annoy,2,18.007,sad,2,51.811
18,596f003434773e0001fc0d28,worri,4,3.819,concern,5,4.392,upset,5,3.277,shock,3,16.362,frustrat,2,16.958
19,596f003434773e0001fc0d28,empti,4,5.937,bore,4,4.193,abandon,4,8.888,depress,3,5.463,wonder,3,5.661
20,596f003434773e0001fc0d28,empathi,4,6.195,compass,4,3.801,hope,4,3.426,curiou,3,39.199,love,3,6.678
21,596f003434773e0001fc0d28,excit,4,5.184,impress,4,3.978,exhilar,4,5.367,happi,4,3.533,energ,4,9.581
22,596f003434773e0001fc0d28,horror,5,4.41,scare,4,3.069,worri,4,4.211,depress,4,6.162,desper,4,9.29
23,596f003434773e0001fc0d28,cheer,3,5.45,impress,4,6.045,shock,4,3.292,happi,4,4.315,surpris,4,10.752
24,596f003434773e0001fc0d28,reminisc,4,7.447,intrigu,3,12.636,wonder,3,4.677,confus,3,8.106,reflect,3,53.418
25,5f1b9073b07b733a1b4fdd8b,hungry,4,21.143,sweet,4,63.92,happiness,4,40.767,content,4,10.846,satisfied,4,19.879
26,5f1b9073b07b733a1b4fdd8b,terror,4,43.148,hatred,4,11.087,fear,4,19.03,panic,4,9.597,pain,4,12.168
27,5f1b9073b07b733a1b4fdd8b,shocked,4,8.201,appalled,4,10.099,astonished,4,7.286,stunned,4,20.242,frightened,4,26.734
28,5f1b9073b07b733a1b4fdd8b,empathetic,4,22.29,warmth,4,17.623,relief,4,2.983,happiness,4,7.102,joy,4,20.704
29,5f1b9073b07b733a1b4fdd8b,disgust,4,9.71,anguish,4,3.227,appalled,4,28.324,sick,4,23.148,nausea,4,24.693
30,5f1b9073b07b733a1b4fdd8b,happiness,4,6.067,victory,4,5.244,triumph,4,15.684,connected,4,3.317,gleeful,4,67.686
31,5f1b9073b07b733a1b4fdd8b,happiness,4,9.268,compassion,4,38.218,optimistic,4,66.888,hopeful,4,15.237,confident,4,4.558
32,5f1b9073b07b733a1b4fdd8b,awkward,4,7.661,embarrassment,4,19.267,uncertain,4,66.307,humorous,4,30.078,comical,4,6.536
33,5f1b9073b07b733a1b4fdd8b,uncomfortable,4,11.313,alarmed,4,14.341,startled,4,11.87,pain,4,3.264,suffering,4,55.476
34,5f1b9073b07b733a1b4fdd8b,happy,4,47.102,excite,4,9.267,inspiration,4,52.793,fortune,4,46.912,merry,4,5.418
35,5f1b9073b07b733a1b4fdd8b,suspense,4,6.732,anxious,4,15.54,nervous,4,10.11,tense,4,5.862,anxiety,4,17.667
36,5f1b9073b07b733a1b4fdd8b,annoyance,4,22.558,riled,4,29.201,furious,4,18.326,mad,4,7.218,seethe,4,4.699
37,5f1b9073b07b733a1b4fdd8b,provoked,4,53.275,irk,4,19.454,exasperate,4,15.611,trouble,4,5.208,disturb,4,6.66
38,5f1b9073b07b733a1b4fdd8b,perplex,4,16.129,exhilaration,4,44.081,thrill,4,5.958,adventure,4,8.349,motivated,4,22.037
39,5f1b9073b07b733a1b4fdd8b,curious,4,7.35,confusion,4,14.872,odd,4,7.57,unexpected,4,7.001,puzzled,4,8.723
40,5f1b9073b07b733a1b4fdd8b,helpless,4,47.063,intimidated,4,17.007,petrify,4,7.529,worry,4,18.715,timid,4,18.413
41,5f1b9073b07b733a1b4fdd8b,love,4,40.469,endearment,4,16.43,affection,4,50.135,passion,4,6.51,homeliness,4,27.262
42,5f1b9073b07b733a1b4fdd8b,aghast,4,198.034,horror-struck,4,10.659,daunted,4,20.045,obscure,4,21.984,baffled,4,24.626
43,5f1b9073b07b733a1b4fdd8b,mystified,4,44.258,foggy,4,11.841,confound,4,10.728,blurred,4,15.613,befuddled,4,10.987
44,5f1b9073b07b733a1b4fdd8b,calm,4,5.37,peace,4,6.439,quiet,4,7.579,composed,4,24.043,serenity,4,23.384
45,5f1b9073b07b733a1b4fdd8b,incoherent,4,33.433,rattled,4,24.652,watchful,4,105.227,leery,4,13.378,guarded,4,3.042
46,5f1b9073b07b733a1b4fdd8b,spirited,4,24.156,enthusiastic,4,22.062,euphoric,4,12.248,giddy,4,2.964,elated,4,5.975
47,5f1b9073b07b733a1b4fdd8b,dread,4,37.513,chilled,4,53.674,spooked,4,17.885,distress,4,9.006,bizarre,4,36.294
48,5f1b9073b07b733a1b4fdd8b,flop,4,29.239,entertained,4,43.212,preposterous,4,18.372,witty,4,8.22,ridiculous,4,9.211
49,5f1b9073b07b733a1b4fdd8b,hostile,4,22.722,steaming,4,93.634,rabid,4,6.573,perturbed,4,32.026,ticked,4,22.17
