,word,count
0,aesthetic,1
1,amazed,1
2,anxious,1
3,awe,1
4,bored,1
5,calm,3
6,cold,1
7,content,1
8,crave,2
9,curious,1
10,delicious,1
11,deliciousness,1
12,delighted,2
13,desire,3
14,diabetic,1
15,disgust,1
16,disgusted,1
17,excit,1
18,excite,2
19,excited,4
20,excitement,1
21,fascinated,1
22,full,2
23,greed,1
24,gross,1
25,grossed-out,1
26,guilty,2
27,happi,1
28,happiness,3
29,happy,4
30,hate,1
31,hot,1
32,hunger,2
33,hungri,1
34,hungry,12
35,impressed,2
36,interest,1
37,interested,1
38,interesting,1
39,intrigued,3
40,jealous,2
41,loss-of-appetite,1
42,mellow,1
43,motivated,1
44,mouth-watering,1
45,nothing,1
46,peckish,1
47,pleasure,1
48,relaxed,2
49,sad,1
50,salivate,1
51,salivating,1
52,satisfi,1
53,satisfied,2
54,smooth,1
55,sugar,1
56,surprising,1
57,sweet,2
58,sweet-craving,1
59,tasty,1
60,tempted,1
61,upset,1
62,warm,1
63,yummy,1
